   Ordinate,   Elev, Flow Surcharge Envelope, Flow Inflow=3,000 cms, Flow Inflow=5,000 cms, Flow Inflow=10,000 cms, Flow Inflow=25,000 cms, Flow Inflow=50,000 cms, Flow Inflow=75,000 cms, Flow Discharge Capacity
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Labels, ,Surcharge Envelope,Inflow=3,000 cms,Inflow=5,000 cms,Inflow=10,000 cms,Inflow=25,000 cms,Inflow=50,000 cms,Inflow=75,000 cms,Discharge Capacity
Units, ,M3/S,M3/S,M3/S,M3/S,M3/S,M3/S,M3/S,M3/S
Type, , , , , , , , , 
1,1104.0, , , , , , ,-83.7, 
2,1104.0, , , , , , ,-83.7, 
3,1132.0, , , , , , , ,0.0
4,1150.0, , , , , , , ,53.8
5,1150.9, , , , , , ,55.8, 
6,1160.0, , , , , , , ,76.5
7,1170.0, , , , , , , ,91.7
8,1180.0, , , , , , , ,105.1
9,1190.0, , , , , , , ,116.7
10,1200.0, , , , , , , ,126.9
11,1210.0, , , , , , , ,136.8
12,1214.8, , , , , , ,141.3, 
13,1216.1, , , , , ,0.0, , 
14,1220.0, , , , , , , ,146.1
15,1230.0, , , , , , , ,154.6
16,1240.0, , , , , , , ,162.8
17,1244.9, , , , , , ,166.6, 
18,1250.0, , , , , , , ,170.5
19,1260.0, , , , , ,61.2, ,177.8
20,1265.4, , , , , , ,181.5, 
21,1270.0, , , , , , , ,184.6
22,1280.0, , , , , , , ,191.4
23,1280.1, , , , , , ,191.5, 
24,1280.2, , , , , ,123.5, , 
25,1290.0, , , , , , , ,198.2
26,1291.3, , , , , , ,199.0, 
27,1293.6, , , , , ,187.5, , 
28,1299.7, , , , ,0.00, , , 
29,1300.0, , , , , , , ,204.4
30,1300.6, , , , , , ,204.8, 
31,1303.8, , , , , ,206.8, , 
32,1308.6, , , , , , ,209.8, 
33,1310.0, , , , , , , ,210.7
34,1312.3, , , , , ,212.0, , 
35,1315.0, , , , ,61.16, , , 
36,1315.7, , , , , , ,214.1, 
37,1319.6, , , , , ,216.4, , 
38,1320.0, , , , , , , ,216.6
39,1321.0, , , , , , , ,217.2
40,1322.0, , , , , , , ,224.6
41,1322.1, , , , , , ,225.5, 
42,1323.0, , , , , , , ,237.1
43,1324.0, , , , ,123.46, , ,253.0
44,1325.0, , , , , , , ,271.7
45,1325.8, , , , , ,288.5, , 
46,1326.0, , , , , , , ,293.2
47,1326.7, , , ,0.00, , , , 
48,1327.0, , , , , , , ,317.1
49,1327.8, , , , , , ,337.8, 
50,1328.0, , , , , , , ,342.6
51,1329.0, , , , , , , ,369.8
52,1330.0, , , , , , , ,399.3
53,1330.6, , , , ,187.46, , , 
54,1331.0, , , , , , , ,429.8
55,1331.2, , , , , ,434.8, , 
56,1332.0, , , , , , , ,462.1
57,1333.0, , , , , , ,496.2,496.1
58,1334.0, , , , , , , ,531.2
59,1334.5, , ,0.00, , , , , 
60,1335.0, , , , , , , ,568.0
61,1335.9, , , , ,253.15, , , 
62,1336.0, , , , , ,607.5, ,606.0
63,1336.3, , , ,61.16, , , , 
64,1337.0, , , , , , , ,645.1
65,1337.5, ,0.000, , , , , , 
66,1337.8, , , , , , ,676.4, 
67,1338.0, , , , , , , ,685.8
68,1339.0, , , , , , , ,727.2
69,1340.0, , , , , , , ,770.2
70,1340.2, , , , ,321.11,683.6, , 
71,1341.0, , , , , , , ,813.9
72,1341.1, , , ,123.46, , , , 
73,1341.5, , ,61.16, , , , , 
74,1341.9, , , , , , ,852.7, 
75,1342.0,0.0, , , , , , ,859.2
76,1342.8, ,61.164, , , , , , 
77,1343.0,61.2, , , , , , ,905.1
78,1343.4, ,84.951, , , , , , 
79,1343.7, , , , ,390.21, , , 
80,1343.9, , ,123.46, , ,760.6, , 
81,1344.0,123.5, , , , , , ,952.1
82,1344.1, , , ,187.46, , , , 
83,1344.3, , ,141.58, , , , , 
84,1345.0,187.5, , , , , , ,1000.3
85,1345.9, , , ,253.15, , , , 
86,1346.0,253.2, , , , , , ,1049.6
87,1346.4, , , ,283.17, , , , 
88,1346.6, , , , ,461.00, , , 
89,1347.0,321.1, , , , , , ,1099.5
90,1347.3, , , , , ,840.4, , 
91,1348.0,390.2, , , , , , ,1150.5
92,1348.8, , , , ,533.49, , , 
93,1349.0,461.0, , , , , , ,1202.6
94,1350.0,533.5, , , , , , ,1255.9
95,1350.3, , , , , ,923.1, , 
96,1350.7, , , , ,607.68, , , 
97,1351.0,607.7, , , , , , ,1309.6
98,1352.0,683.6, , , ,683.57, , ,1364.5
99,1352.2, , , , , , ,1375.6, 
100,1352.3, , , , ,707.92, , , 
101,1352.9, , , , , ,1008.1, , 
102,1353.0,760.6, , , , , , ,1420.0
103,1354.0,840.4, , , , , , ,1476.6
104,1355.0,923.1, , , , ,1090.8, ,1533.7
105,1356.0,1008.1, , , , , , ,1592.0
106,1357.0,1090.8, , , , ,1415.8, ,1650.9
107,1357.0,1507.0, , , , , , , 
