   Ordinate,   Elev, Flow Surcharge Envelope, Flow Rate of Rise=0.1 m/hr, Flow Rate of Rise=0.2 m/hr, Flow Rate of Rise=0.4 m/hr, Flow Rate of Rise=0.6 m/hr, Flow Rate of Rise=3 m/hr, Flow Discharge Capacity
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
Labels, ,Surcharge Envelope,Rate of Rise=0.1 m/hr,Rate of Rise=0.2 m/hr,Rate of Rise=0.4 m/hr,Rate of Rise=0.6 m/hr,Rate of Rise=3 m/hr,Discharge Capacity
Units, ,M3/S,M3/S,M3/S,M3/S,M3/S,M3/S,M3/S
Type, , , , , , , , 
1,1253, , , , , , ,36.5
2,1478.8, , , , , , ,36.5
3,1490, , , , , , ,80.2
4,1510, , , , , , ,157.7
5,1520, , , , , , ,182.4
6,1530, , , , , , ,200.8
7,1540, , , , , , ,216.3
8,1550, , , , , , ,231.1
9,1560, , , , , , ,244.7
10,1570, , , , , , ,256.8
11,1580, , , , , , ,268.7
12,1590, , , , , , ,279.8
13,1600, , , , , , ,290.5
14,1610, , , , , , ,301
15,1620, , , , , , ,310.4
16,1630, , , , , , ,319.7
17,1640, , , , , , ,328.8
18,1641.6, , , , , ,0, 
19,1650, , , , , , ,337
20,1651.6, , , , , ,73.6, 
21,1654.1, , , , , ,148.4, 
22,1656.8, , , , , , ,342.7
23,1658, , , , , , ,354
24,1658.9, , , , , ,224.8, 
25,1659, , , , , , ,370.1
26,1660, , , , , , ,389.1
27,1661, , , , , , ,412
28,1662, , , , , ,303,437.2
29,1663, , , , , , ,464.7
30,1664, , , , , , ,495
31,1665, , , , , , ,527
32,1665.4, , , , , ,382.3, 
33,1666, , , , , , ,560.7
34,1667, , , , , , ,596.6
35,1668, , , , , , ,634.3
36,1668.4, , , , , ,463.3, 
37,1669, , , , , , ,673.7
38,1670, , , , , , ,714.7
39,1671, , , , , ,545.9,756.9
40,1672, , , , , , ,800.7
41,1673, , , , , , ,846.3
42,1673.5, , , , , ,630.3, 
43,1674, , , , , , ,893
44,1674.4, , , , ,0, , 
45,1675, , , , , , ,940.8
46,1675.8, , , , , ,715.8, 
47,1676, , , , , , ,990.4
48,1677, , , , , , ,1041
49,1678, , , , , ,803.1,1092.8
50,1678.1, , , ,0, , , 
51,1679, , , , , , ,1145.7
52,1680, , , , , ,892,1200.4
53,1680.1, , , , ,73.6, , 
54,1680.6, , , , , ,982, 
55,1680.8, , ,0, , , , 
56,1681, , , , , , ,1255.5
57,1681.6, , , , , ,1073.8, 
58,1682, , , ,73.6, , ,1312.4
59,1682.6, ,0, , , , , 
60,1682.6, , , , ,148.4, , 
61,1683, , , , , , ,1369.9
62,1683.5, , , , , ,1167.2, 
63,1684,0, ,73.6,148.4,224.8, ,1429
64,1684.7, ,73.6, , , , , 
65,1685,73.6, , , , , ,1488.8
66,1685.2, , , , , ,1262.4, 
67,1685.4, , ,148.4, , , , 
68,1685.5, , , ,224.8, , , 
69,1685.5, , , , ,303, , 
70,1685.8, ,148.4, , , , , 
71,1686,148.4, , , , , ,1549.6
72,1686.5, , ,224.8, , , , 
73,1686.8, , , ,303, , , 
74,1686.9, ,224.8, , ,382.3, , 
75,1687,224.8, , , , , ,1611.6
76,1687.6, , ,303, , , , 
77,1687.9, ,303, , , , , 
78,1688,303, , ,382.3, , ,1674.7
79,1688.2, , , , ,463.3, , 
80,1688.7, , ,382.3, , , , 
81,1688.9, ,382.3, , , , , 
82,1689,382.3, , , , , ,1739
83,1689.1, , , ,463.3, , , 
84,1689.4, , , , ,545.9, , 
85,1689.5, , , , , ,1771.5, 
86,1689.8, , ,463.3, , , , 
87,1689.9, ,463.3, , , , , 
88,1690,463.3, , , , , ,1803.8
89,1690.2, , , ,545.9, , , 
90,1690.6, , , , ,630.3, , 
91,1690.8, , ,545.9, , , , 
92,1690.9, ,545.9, , , , , 
93,1691,545.9, , , , , ,1869.7
94,1691.3, , , ,630.3, , , 
95,1691.7, , , , ,715.8, , 
96,1691.8, , ,630.3, , , , 
97,1692,630.3,630.3, , , , ,1936.8
98,1692.4, , , ,715.8, , , 
99,1692.8, , ,715.8, , , , 
100,1692.9, , , , ,803.1, , 
101,1693,715.8,715.8, , , , ,2004.5
102,1693.4, , , ,803.1, , , 
103,1693.8, , , , ,892, , 
104,1693.8, , ,803.1, , , , 
105,1694,803.1,803.1, , , , ,2073.2
106,1694.5, , , ,892, , , 
107,1694.9, , ,892, , , , 
108,1695,892,892, , ,982, ,2143.1
109,1695.5, , , ,982, , , 
110,1695.9, , ,982, , , , 
111,1696,982,982, , ,1073.8, ,2213.6
112,1696.5, , , ,1073.8, , , 
113,1696.9, , ,1073.8, , , , 
114,1697,1073.8,1073.8, , , , ,2285.2
115,1697.1, , , , ,1167.2, , 
116,1697.6, , , ,1167.2, , , 
117,1697.9, , ,1167.2, , , , 
118,1698,1167.2,1167.2, , , , ,2357.4
119,1698.2, , , , ,1262.4, , 
120,1698.5, , , , ,2156, , 
121,1698.6, , , ,1262.4, , , 
122,1698.8, , , ,2156, , , 
123,1698.9, , ,1262.4, , , , 
124,1699,1262.4,1262.4,2156, , , ,2430.7
125,1699,2156,2156, , , , , 
126,1700, , , , , , ,2430.7
