beta,grass seed,pasture,wheat,fallow,corn,clover,hay
0,0.221989,0.3702331,0.0126356,0.0569527,-0.0041204,0.0154454,0.0616335
1,0.1655975,-0.1869973,0.0654987,-0.0339811,0.0075938,-0.003053,-0.0613196
2,0.1544618,-0.1792509,0.0534677,-0.0309153,0.0147065,0.0078914,-0.0576372
3,0.1452702,-0.1237006,0.0293751,-0.0315311,0.018316,0.0023917,-0.0411414
4,0.2360827,-0.0546424,0.0135087,-0.0349058,0.0044719,-0.0035872,-0.0528224
5,-0.2459707,-0.2003965,-0.0054098,-0.0190955,0.1213284,-0.0043517,-0.0369339
6,0.1029519,-0.0503389,0.0111162,-0.012661,0.0123436,-0.0103205,-0.0472421
7,-0.2976381,-0.1071058,0.0510725,0.0418892,0.0540705,-0.0110277,-0.0328851
8,-0.0006327,0.0007376,-0.000065,0.0004684,-0.0001566,-0.000024,-0.0000533
9,-0.0169293,0.0070737,-0.0002278,0.0033235,-0.0010188,-0.0002214,0.0006709
10,-0.0133127,0.0218101,-0.0067494,0.0054416,0.0027304,-0.0034812,-0.0000655
11,-0.0500331,-0.0357901,0.0042469,-0.0083876,-0.0058614,0.0087592,-0.0000677
12,0.0092116,-0.0159899,-0.0026069,0.008041,0.0002577,-0.0001575,0.0004473
13,-0.0146539,0.0744832,0.0019551,-0.0124758,-0.0040865,-0.002382,-0.0169719
14,-0.0590991,-0.026179,-0.0047208,0.0010465,0.0185157,-0.0077776,-0.0015602
